CMDLINE python ./gen_file_mem_profile_4.py 10000000 ./test_gen_file
MEM 1.531250 1437160931.9824
MEM 12.023438 1437160932.0827
MEM 12.023438 1437160932.1830
MEM 12.023438 1437160932.2833
MEM 12.023438 1437160932.3836
MEM 12.023438 1437160932.4838
MEM 12.023438 1437160932.5841
MEM 12.023438 1437160932.6844
MEM 12.023438 1437160932.7846
MEM 12.023438 1437160932.8849
MEM 12.023438 1437160932.9852
MEM 12.023438 1437160933.0855
MEM 12.023438 1437160933.1858
MEM 12.023438 1437160933.2860
MEM 12.023438 1437160933.3863
MEM 12.023438 1437160933.4866
MEM 12.023438 1437160933.5868
MEM 12.023438 1437160933.6871
MEM 12.023438 1437160933.7874
MEM 12.023438 1437160933.8876
MEM 12.023438 1437160933.9879
MEM 12.023438 1437160934.0882
MEM 12.023438 1437160934.1885
