"Network","ID","Name","Brand","Company","Users"
"facebook","23842581830580277","Lookalike (US, 2%) - iOS+Android_FrappuccinoPurchasers_LRv2_3/16/17","Unknown Brand","Unknown Company","3700000"
"facebook","23842682112290277","Lookalike (US, 2%) - iOS+Android_PrimaryBevLatte_LRv2_3/22/17","Unknown Brand","Unknown Company","4000000"
"facebook","6072675183406","Lookalike (US, 3% to 4%) - iOS+Android_All Members_LRV2+SDK_6-5-17","Unknown Brand","Unknown Company","1500000"
"facebook","6064682349406","Lookalike (US, 3%) - High Valued Purchasers","Unknown Brand","Unknown Company","1000"
"facebook","6064606828206","Lookalike (US, 3%) - PrimaryBevLatte_Past90_EDW_12-05-16","Unknown Brand","Unknown Company","6300000"
"facebook","6064606310606","Lookalike (US, 3%) - Starbucks Page Engagers","Unknown Brand","Unknown Company","5800000"
"facebook","6064606822606","Lookalike (US, 3%) - WeeklyEspresso1+_Past90_EDW_12-05-16","Unknown Brand","Unknown Company","6300000"
"facebook","6072675183006","Lookalike (US, 4% to 5%) - iOS+Android_All Members_LRV2+SDK_6-5-17","Unknown Brand","Unknown Company","1500000"
"facebook","23842595880000454","Lookalike (US, 5% to 10%) - Starbucks Visitors - Last 180 Days","Unknown Brand","Unknown Company","10000000"
"facebook","6073160491806","Lookalike (US, 5% to 10%) - iOS+Android_All Members_LRV2+SDK_6-5-17","Unknown Brand","Unknown Company","7200000"
"facebook","23842595879980454","Lookalike (US, 5%) - Starbucks Visitors - Last 180 Days","Unknown Brand","Unknown Company","10000000"
"facebook","6073160491606","Lookalike (US, 5%) - iOS+Android_All Members_LRV2+SDK_6-5-17","Unknown Brand","Unknown Company","7300000"
"facebook","","Unknown Audience","Unknown Brand","Unknown Company","0"
"facebook","","Unknown Audience","Unknown Brand","Unknown Company","0"
"facebook","","Unknown Audience","Unknown Brand","Unknown Company","0"
"tacebook","","Unknown Audience","Unknown Brand","Unknown Company","0"
"macebook","","Unknown Audience","Unknown Brand","Unknown Company","0"
